"","location_long","location_lat"
"308",-110.2594761,44.9063651
"309",-110.2665522,44.9035496
"310",-110.2657218,44.8989816
"311",-110.266776,44.8973131
"312",-110.2606302,44.8967254
"313",-110.2620567,44.9037368
"314",-110.2594984,44.9065129
"315",-110.2584888,44.9063651
"316",-110.2619073,44.9034624
"317",-110.2607019,44.9067925
"318",-110.2426059,44.9063259
"319",-110.2537394,44.8996986
"320",-110.2621814,44.9038023
"321",-110.2597387,44.9047619
"322",-110.2620692,44.9074079
"323",-110.262008,44.9066502
"324",-110.2533473,44.8996885
"325",-110.2592217,44.9065433
"326",-110.2627455,44.9052126
"327",-110.2589782,44.9063984
"328",-110.2620608,44.903711
"329",-110.264971,44.8998887
"330",-110.2611266,44.8962876
"331",-110.2595318,44.9065103
"332",-110.2670187,44.9090071
"333",-110.256494,44.8960474
"334",-110.2589288,44.901146
"335",-110.255085,44.9015327
"336",-110.2667647,44.9037292
"337",-110.2632568,44.9067213
"338",-110.2669782,44.9037596
"339",-110.2540306,44.9038066
"340",-110.2573627,44.9052564
"341",-110.2583513,44.9045362
"342",-110.2494989,44.9061511
"343",-110.2556011,44.9078664
"344",-110.2633051,44.9043803
"345",-110.259324,44.9067881
"346",-110.261843,44.9070407
"347",-110.261609,44.9081811
"348",-110.2666812,44.9045322
"349",-110.2591596,44.9006932
"350",-110.2671673,44.9039659
"351",-110.2701544,44.9089461
"352",-110.262091,44.9071963
"353",-110.2633027,44.9052292
"354",-110.263332,44.9046887
"355",-110.2609983,44.8978332
"356",-110.2594567,44.9065194
"357",-110.2619429,44.9038777
"358",-110.2593909,44.9010439
"359",-110.2606954,44.9006147
"360",-110.2620083,44.903801
"361",-110.2557884,44.9004042
"362",-110.2672463,44.9020075
"363",-110.2591472,44.9061251
"364",-110.2589121,44.9063229
"365",-110.2503836,44.9026996
"366",-110.2597886,44.9065705
"367",-110.2625683,44.9060725
"368",-110.2614261,44.9060249
"369",-110.2635688,44.9055759
"370",-110.2645894,44.910772
"371",-110.2561993,44.900582
"372",-110.2610362,44.903328
"373",-110.2508327,44.9050449
"374",-110.259928,44.8951454
"375",-110.261918,44.9039014
"376",-110.2580139,44.9069078
"377",-110.2542244,44.9016552
"378",-110.2589223,44.9049073
"379",-110.2592443,44.9042193
"380",-110.2662211,44.9032731
"381",-110.2621468,44.9033942
"382",-110.2566129,44.9002353
"383",-110.2617125,44.9034477
"384",-110.2561898,44.8993059
"385",-110.2673821,44.9039913
"386",-110.2620223,44.9038701
"387",-110.2565338,44.9003535
"388",-110.2597009,44.9047923
"389",-110.2612502,44.9056547
"390",-110.2654178,44.9024278
"391",-110.2595773,44.9010356
"392",-110.2619888,44.9038041
"393",-110.2620211,44.9037278
"394",-110.2622821,44.9083065
"395",-110.253948,44.9035191
"396",-110.2621026,44.9035585
"397",-110.2617494,44.8994678
"398",-110.2616696,44.9033288
"399",-110.2540979,44.9022337
"400",-110.2608456,44.9013968
"401",-110.2549931,44.9023328
"402",-110.2577962,44.9053596
"403",-110.2548691,44.9023526
"404",-110.2684471,44.9083692
"405",-110.2583674,44.9052288
"406",-110.2593654,44.904954
"407",-110.2624639,44.905328
"408",-110.2605717,44.9064694
"409",-110.2567396,44.9004616
"410",-110.2584896,44.9026582
"411",-110.2621033,44.9037972
"412",-110.2607951,44.8999679
"413",-110.2609484,44.9077704
"414",-110.2680188,44.9037368
"415",-110.260768,44.9039805
"416",-110.2626219,44.9065475
"417",-110.2622665,44.9081082
"418",-110.2584055,44.9033397
